Hash,Name,Item Type Display Name,Icon
2899766705,Gantelets,Gantelets,/common/destiny2_content/icons/1cfe58452f5dae674b7f6d0f816e9592.jpg
648507367,Armure de torse,Armure de torse,/common/destiny2_content/icons/9678d164d00ec54323071a825e319216.jpg
1364005110,Cape de Chasseur,Cape de Chasseur,/common/destiny2_content/icons/363fd4e1311408d0f5400f6d9579cf2f.jpg
997252576,Casque,Casque,/common/destiny2_content/icons/d2abc2257f85934b8ff763e563f02cd9.jpg
2731019523,Armure de jambes,Armure de jambes,/common/destiny2_content/icons/9cc3f7461305a1ece9f91f5a25d9e7a9.jpg
765924941,Gantelets,Gantelets,/common/destiny2_content/icons/f378e5316a99404cab087ecdce699758.jpg
3933597171,Armure de torse,Armure de torse,/common/destiny2_content/icons/8cc0f113cf22b387d05b6b040250dc64.jpg
1844055850,Fanion de Titan,Fanion de Titan,/common/destiny2_content/icons/4a80cc7898c2e510cb3e6c4a42982c42.jpg
2359657268,Casque,Casque,/common/destiny2_content/icons/0f581262927001f7db9d95a40e9b2189.jpg
1436723983,Armure de jambes,Armure de jambes,/common/destiny2_content/icons/e7464694d858cad360801638ccd96b07.jpg
673268892,Gantelets,Gantelets,/common/destiny2_content/icons/bfece8a540293e1ac584d894caaa7258.jpg
2226216068,Armure de torse,Armure de torse,/common/destiny2_content/icons/9fc0d6f0828aea5abe2f13354c6e63b5.jpg
2969943001,Brassard d'Arcaniste,Brassard d'Arcaniste,/common/destiny2_content/icons/9b5a20e8b090754429762e5836f4131f.jpg
20603181,Casque,Casque,/common/destiny2_content/icons/1cb2285f74ece98b03e170a3f8d9abdc.jpg
3971164198,Armure de jambes,Armure de jambes,/common/destiny2_content/icons/1c3ae268b2f129c252f0609fe52b8028.jpg
2244640102,Contrats supplémentaires,NoData,/common/destiny2_content/icons/4684fcfc50eff3b5915085c36273d002.jpg
598621705,Contrats supplémentaires,NoData,/common/destiny2_content/icons/6d504c94da597c4c1749834732df1b1a.jpg
2910071312,Contrats supplémentaires,NoData,/common/destiny2_content/icons/26d3f918601665b8cf975d8ec53e596e.jpg
3428617830,Contrats supplémentaires,NoData,/common/destiny2_content/icons/015b12ddda248a9e28f1e5f273fceb87.jpg
152583919,Coups de grâce,Collection de coups de grâce,/common/destiny2_content/icons/618647e637fceceda9bb5034db87a595.jpg
2877127585,Mod d'équipement redondant,Mod d'équipement,/common/destiny2_content/icons/1723e9abcf3a5fcb176d023044232792.png
231101171,Pièce maîtresse aléatoire,Mod d'arme,/common/destiny2_content/icons/cc3be955cb34b918e90d0f8e654a11c1.png
362514080,Équipement ordinaire,NoData,/common/destiny2_content/icons/399ff8844f8a4ec8301143efb680aa35.jpg
1013175651,Équipement rare,NoData,/common/destiny2_content/icons/b6ed0396eb8d63a79f990d80b2c05e68.jpg
1819656110,Équipement légendaire,NoData,/common/destiny2_content/icons/e8c52e78b005f454fd0001d871c5d3c6.jpg
3362294689,Équipement exotique,NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
1572351682,En solo - Armure de bras exotique (rare),NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
256080248,En solo - Armure de bras exotique (courante),NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
637514010,Équipement ordinaire,NoData,/common/destiny2_content/icons/399ff8844f8a4ec8301143efb680aa35.jpg
4076080253,Équipement rare,NoData,/common/destiny2_content/icons/b6ed0396eb8d63a79f990d80b2c05e68.jpg
3575230064,Équipement légendaire,NoData,/common/destiny2_content/icons/e8c52e78b005f454fd0001d871c5d3c6.jpg
467115403,Équipement exotique,NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
176055472,En solo - Armure de torse exotique (rare),NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
2686128774,En solo - Armure de torse exotique (courante),NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
3317373858,Équipement ordinaire,NoData,/common/destiny2_content/icons/399ff8844f8a4ec8301143efb680aa35.jpg
1051019029,Équipement rare,NoData,/common/destiny2_content/icons/b6ed0396eb8d63a79f990d80b2c05e68.jpg
1460395848,Équipement légendaire,NoData,/common/destiny2_content/icons/e8c52e78b005f454fd0001d871c5d3c6.jpg
2938865491,Équipement exotique,NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
413607848,Équipement exotique (rare),NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
2791741337,Équipement exotique (peu commun),NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
3311376862,Équipement exotique (commun),NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
470135362,Équipement exotique (commun),NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
2213848030,Équipement ordinaire,NoData,/common/destiny2_content/icons/399ff8844f8a4ec8301143efb680aa35.jpg
2336955569,Équipement rare,NoData,/common/destiny2_content/icons/b6ed0396eb8d63a79f990d80b2c05e68.jpg
4264340036,Équipement légendaire,NoData,/common/destiny2_content/icons/e8c52e78b005f454fd0001d871c5d3c6.jpg
3003989311,Équipement exotique,NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
1584628070,Équipement ordinaire,NoData,/common/destiny2_content/icons/399ff8844f8a4ec8301143efb680aa35.jpg
2973723561,Équipement rare,NoData,/common/destiny2_content/icons/b6ed0396eb8d63a79f990d80b2c05e68.jpg
2661988572,Équipement légendaire,NoData,/common/destiny2_content/icons/e8c52e78b005f454fd0001d871c5d3c6.jpg
1835222407,Équipement exotique,NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
1387420892,En solo - Armure de tête exotique (rare),NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
2679019194,En solo - Armure de tête exotique (courante),NoData,/common/destiny2_content/icons/763634b78eb22168ac707500588b7333.jpg
3831979444,Équipement ordinaire,NoData,/common/destiny2_content/icons/399ff8844f8a4ec8301143efb680aa35.jpg
