Nom,Power Expert,Power Maitrise,Expert Solaires,Expert Abyssaux,Expert Cryo-électriques,Expert Stasiques,Expert Filobscures,Expert Brise-bouclier,Expert Perturbation,Expert Chancellement,Maitrise Solaires,Maitrise Abyssaux,Maitrise Cryo-électriques,Maitrise Stasiques,Maitrise Filobscures,Maitrise Brise-bouclier,Maitrise Perturbation,Maitrise Chancellement
Repos de l'Aphélie,2020,2030,,11,,,,,2,2,,10,,,,,4,3
Cave de la Lumière Stellaire,2020,2030,2,18,,,,,1,3,2,18,,,,,3,5
Baie des Souhaits Noyés,2020,2030,,1,,,,,2,3,,1,,,,,3,4
La Carrière,2020,2030,1,1,,,,2,,2,1,,,,,4,,4
Quai Aérien IV,2020,2030,,4,,,,1,,3,,2,,,,1,,5
Site de Fouilles XII,2020,2030,,,1,,,1,,3,,,1,,,2,,5
Antre des Charognards,2020,2030,,,1,,,2,3,,,,1,,,3,5,
Précepte Doré,2020,2030,2,4,,,,1,,2,,5,,,,3,,3
Delta Hydroponique,2020,2030,,,,,,2,,2,,,,,,2,,4
Stimulodrome,2020,2030,,6,1,,,2,2,,,5,1,,,4,3,
La Déchirure,2020,2030,,10,,,,2,,2,,10,,,,3,,3
Perdition,2020,2030,,2,22,,,2,2,,,2,22,,,4,2,
Bunker E15,2020,2030,,2,,,,1,3,,,2,,,,2,5,
Abysse Cachée,2020,2030,2,3,,,,3,1,,2,3,,,,3,5,
Labyrinthe de Veles,2020,2030,2,,4,,,3,,1,2,,2,,,5,,5
Jardin de l'Exode 2A,2020,2030,,,,,,2,2,,,,,,,5,4,
Révélation K1,2020,2030,,,4,,,4,,3,,,1,,,7,,3
Quartiers du Personnel K1,2020,2030,10,,,,,3,2,,10,,,,,4,6,
Logistique K1,2020,2030,8,,3,,,3,2,,8,,3,,,4,6,
Communion K1,2020,2030,1,2,,,,3,2,,1,,,,,4,6,
Sepulcre,2020,2030,2,,1,,,3,,1,2,,1,,,5,,3
Extraction,2020,2030,,5,7,,,,1,3,,5,2,,,,4,3
Métamorphose,2020,2030,1,,2,,,,3,2,1,,4,,,,3,4
Les Profondeurs Brisées,2020,2030,,,1,,,,3,3,,,,,,,5,3
Les Profondeurs Fleurissantes,2020,2030,Pending,Pending,Pending,,,Pending,Pending,Pending,Pending,Pending,Pending,,,Pending,Pending,Pending
Les Profondeurs Oubliées,2020,2030,Pending,Pending,Pending,,,Pending,Pending,Pending,Pending,Pending,Pending,,,Pending,Pending,Pending
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Current: ,,,,,,,,,,,,,,,,,,
Perdition,,,,,,,,,,,,,,,,,,
Bunker E15,,,,,,,,,,,,,,,,,,
Abysse Cachée,,,,,,,,,,,,,,,,,,
La Déchirure,,,,,,,,,,,,,,,,,,
Stimulodrome,,,,,,,,,,,,,,,,,,
Delta Hydroponique,,,,,,,,,,,,,,,,,,
Labyrinthe de Veles,,,,,,,,,,,,,,,,,,
Jardin de l'Exode 2A,,,,,,,,,,,,,,,,,,
Les Profondeurs Brisées,,,,,,,,,,,,,,,,,,
Les Profondeurs Fleurissantes,,,,,,,,,,,,,,,,,,
Les Profondeurs Oubliées,,,,,,,,,,,,,,,,,,
